VENDOR,PART NUMBER,DESCRIPTION,MARKET PRICE (EUR),LAST FOUND LIST PRICE (USD),Weight,Dimension ,Remarks
NOKIA,CU24101,IU2 2×2 Mb/s 75 ohm,,,,,
NOKIA,D12816,TCRMT,,,,,
NOKIA,D12873H07,TPOL ,,,,,
NOKIA,D17106,TMQR,,,,,
NOKIA,D17107,TRCX,,,,,
NOKIA,D17147,TCCS,,,,,
NOKIA,D17407,TMUC2M,,,,,
NOKIA,D17963,TSITL,,,,,
NOKIA,D42116,TPUCB,,,,,
NOKIA,D53631A03,TSURV2,,,,,
NOKIA,D59147A01,NOKIA OCB283/E10 ,,,,,
NOKIA,DC62605.1,2.4. X.21 INTERFACE UNIT,,,,,
NOKIA,DDF16BNC0C53A,T555BAL16.02,,,,,
NOKIA,DPM-2,Power Supply,,,,,
NOKIA,DS60160,STAND-ALONE BASEBAND MODEM,,,,,
NOKIA,DS60250.32,DNT128 Generic,,,,,
NOKIA,DS62200.1,EXI-S,,,,,
NOKIA,DS62602.11,V.28/V24 INTERFACE MODULE,,,,,
NOKIA,DS62603.11,V.11 interface module,,,,,
NOKIA,DS62605.11,X.21/V.11 interface module,,,,,
NOKIA,DS62608.11,INTERFACE CARD G.704/2M,,,,,
NOKIA,DZ62702.1,NOKIA - DTE Cable V.28,,,,,
NOKIA,E21133.01,,,,,,
NOKIA,ECE37533AB,FAN UNIT,,,,,
NOKIA,FYGD-C1900,FYGD Clock Data Cable,,,,,
NOKIA,GE1/SX4,Ethernet interface unit,,,,,
NOKIA,NOKIAIP01200,IP01200,,,,,
NOKIA,IP01200,NOKIA REGULATORY MODEL IP01200,€164.3,$0.00,,,
NOKIA,IP1260,Firewall Sec Platf - 2xAC PSU - 2x40GB -Rack Mount  ,,,,,
NOKIA,LCP-SCP-1SMA02-L20,Cable - 14130280,€0.0,$0.00,,,
NOKIA,LKA50,109484345,,,,,
NOKIA,LTDK-30,T-DK-30 - 3.2 DB  - IL at 1545 NM (WHITE),,,,,
NOKIA,LTDK-40,4.2 DB IL at 1545NM,,,,,
NOKIA,LTDK-5,LT-DK-5 - 1.5 dB +/- - IL AT 1545 NM ,,,,,
NOKIA,LTDK-80,7.9 dB IL at 1545 nm,,,,,
NOKIA,MCS10884,MODEM,,,,,
NOKIA,MCS10971,MODEM,,,,,
NOKIA,MTRS-6E21-01,SFP+ 6.1GB 2KM 1310NM,,,,,
NOKIA,MXPD-243SI,SFP,€0.0,$0.00,,,
NOKIA,N800898001,3G SGSN 2 SLOT CARD,,,,,
NOKIA,NCP-3108-CCA1ALE,5910 VSA,,,,,
NOKIA,NIF4205000,CPMC,,,,,
NOKIA,NMSWS0090,CABLE POUR TS8 10M,,,,,
NOKIA,NS45N741AB,3 PORT DS3/E3 ATM PROTECTION MODULE,,,,,
NOKIA,NT6X3601,MODULE,,,,,
NOKIA,OMC-GY-MM-24-LCLC-030M,FIBREOPTICALCABLEASSEMBLY,,,,,
NOKIA,OS6560-P48X4,OmniSwitch 6560 Ethernet LAN Switch,,,,,
NOKIA,P01074,DAT12G,,,,,
NOKIA,P01075,DAT12G,,,,,
NOKIA,PC100-222-260,64MB 100MHZ MEMORY MODULE,,,,,
NOKIA,PT7420-81-ED-ER+,0,,,,,
NOKIA,RLT000005.T,TDD LTE Connected UEs per BTS LTU,,,,,
NOKIA,RLT000009.T,TDD Cell Bandwidth - 20 MHz LTU,,,,,
NOKIA,RLT000034.T,LTE transport protocol stack LTU,,,,,
NOKIA,RLT000038.T,Transmit diversity for two antennas LTU,,,,,
NOKIA,RLT000041.T,2x2 DL MIMO LTU,,,,,
NOKIA,RLT000081.T,Flexi TD LTE Branch Activation 10W LTU,,,,,
NOKIA,RLT000103.T,eNodeB throughput capacity licenseDL LTU,,,,,
NOKIA,RLT000104.T,eNodeB throughput capacity licenseUL LTU,,,,,
NOKIA,ROF1371587/1,TBS,,,,,
NOKIA,ROF1377628/1,STU,,,,,
NOKIA,ROJ208317/1,LRB,,,,,
NOKIA,RTXM182-525,3FE25772AA 01,,,,,
NOKIA,RTXM192-434,3G SFP 2KM 1310NM,,,,,
NOKIA,S-1.1DDM,SFP,€230.0,$0.00,,,
NOKIA,S-4.1DDM,1AB196360004,€230.0,$0.00,,,
NOKIA,S30813-Q426-X901-4/01,Board,€0.0,$0.00,,,
NOKIA,S42024-P129-A1,QD2BUS,,,,,
NOKIA,SCP6G08-A1-ZME,SFP,€230.0,$0.00,,,
NOKIA,SCP6G08-H2-BNE,2.488G-1310NM 15KM SM ESFP,€230.0,$0.00,,,
NOKIA,SG9CF4GHYAAIALC,Compact Flash Card 4G,,,,,
NOKIA,SM-1800-50-33,SMT 48/34 RECTIFIER,,,,,
NOKIA,SNC3SHOAAA,OLS SYS CONTROLLER UNIT,,,,,
NOKIA,SNC3SHOAAB,OLS SYS CONTROLLER UNIT,,,,,
NOKIA,SP-GB-LX-INFN-SA2,SFP,€0.0,$0.00,,,
NOKIA,T30013.02,STM-1 IU 1300nm S-1.1 MLM FC,,,,,
NOKIA,T30023.01,STM-4 1300LH,,,,,
NOKIA,T30023.02,STM-4 IU (1300nm),,,,,
NOKIA,T30041.03,A2M ELECTRICAL IU,,,,,
NOKIA,T30041.04,A2MTA Electrical IU 16*2M 75R,,,,,
NOKIA,T30043.04,2MTA Electrical IU 16*2M 75ohm,,,,,
NOKIA,T30053.01,SSW,,,,,
NOKIA,T30054.01,SSWA,,,,,
NOKIA,T30063.01,TSW1,,,,,
NOKIA,T30073.01,CU control + timing Unit,,,,,
NOKIA,T30084.01,SA-U,,,,,
NOKIA,T30404.11,75 ohm conn panel,,,,,
NOKIA,T30405.14,Adapter,,,,,
NOKIA,T30411.10,Mounting Frame for Connector Panel,,,,,
NOKIA,T30414.03,17 slot synfonet sub rack,,,,,
NOKIA,T30512.20,ISDN PLUG FOR CARD,,,,,
NOKIA,T30700.12,ACM2 MUX CONTROLLER,,,,,
NOKIA,T30701.11,ACM2 V5 CONTROLLER,,,,,
NOKIA,T30705.01,ACM2 SUB UNIT 10 CH,,,,,
NOKIA,T30707.01,SUB Unit 10 Ch CV Version,,,,,
NOKIA,T30733.01,ISDN S/T IF UNIT,,,,,
NOKIA,T30734.02,ISDN BA U-IF,,,,,
NOKIA,T30800.09,EPSA Power Unit,,,,,
NOKIA,T30800.19,EPSA 48VDC,,,,,
NOKIA,T30813.01,0,,,,,
NOKIA,T30821,Power Supply,,,,,
NOKIA,T30851.02,Subrack Power Adapter,,,,,
NOKIA,T37871.01,NDM 19 in DN2 subrack,,,,,
NOKIA,T37883.01,NDM AC unit,,,,,
NOKIA,T37884.01,NDM DC POWER CARD,,,,,
NOKIA,T55050.01,Alignment Unit,,,,,
NOKIA,T55200.01,NOKIA  FIU 19 CHASSIS,,,,,
NOKIA,T55220.01,FIU 19 4x2M 120 Plug-In Unit,,,,,
NOKIA,T55220.02,FIU 19 4X2M 75 PLUG-IN UNIT,,,,,
NOKIA,T55221.01,FIU 19 FLEXBUS PLUG-IN UNIT,,,,,
NOKIA,T55223.01,FIU 19 4 x AUX DATA,,,,,
NOKIA,T55340.01,FIU 19E Indoor Unit,,,,,
NOKIA,T55340.03,FIU19E,,,,,
NOKIA,T55513B0.02,FlexiPacket Radio 13,,,,,
NOKIA,T55518B1,,,,,,
NOKIA,T55523B0.01,FlexiPacket Radio 23,,,,,
NOKIA,T55523B0.51,FlexiPacket Radio 23,,,,,
NOKIA,T55538B0.52,FlexiPacket Radio 38,,,,,
NOKIA,T555800GBO.00,4GbE Opt.,,,,,
NOKIA,T555FME0,FLEXIPACKET FIRSTMILE 200,,,,,
NOKIA,T555HWKEY,Software Key,,,,,
NOKIA,T59015.01,FlexHopper XC 15,,,,,
NOKIA,T59015.02,FlexHopper XC 15,,,,,
NOKIA,T59100.11,MAIN,,,,,
NOKIA,T59140.10,40E1,,,,,
NOKIA,T59240.10,LIC,,,,,
NOKIA,T59401.03,CABLE,,,,,
NOKIA,T59500.20,FlexiHub Node,,,,,
NOKIA,T59505.01,FAN,,,,,
NOKIA,T59510.01,40E1 75Ohm CONNECTOR 750,,,,,
NOKIA,T65000.01,DNT1MEXP without interface modules,,,,,
NOKIA,T65100.01,ILT1M 2B1Q Line Terminal,,,,,
NOKIA,T65100.06,ILT1M 2B1Q Line Terminal,,,,,
NOKIA,T65500.01,CARTE ACL 2 MBIT/S EXP,,,,,
NOKIA,T65620.01,MODEM DNT2M,,,,,
NOKIA,T65630.01,DNT2M-mp EXP/AC,,,,,
NOKIA,T65640.01,	DNT2M-s SA AC-POWER GEN,,,,,
NOKIA,T65650.01,DNT2M-G Mini Multiplexer,,,,,
NOKIA,T65650.12,DNT2M-G,,,,,
NOKIA,T65660.01,DNT2M-G MP (AC - 120 OHM),,,,,
NOKIA,T65660.02,DNT2M-G,,,,,
NOKIA,T65660.11,DNT2M-G,,,,,
NOKIA,T65660.12,DNT2M-G,,,,,
NOKIA,TA21513,DF2 HIGH POWER CARD,,,,,
NOKIA,TA21516,DF HIGH POWER CARD,,,,,
NOKIA,TC21100,,,,,,
NOKIA,TC21101,DM2 Multiplexing Unit - 75 ohm,,,,,
NOKIA,TC21116,2M MULTIPLEXER 120 OHM,,,,,
NOKIA,TC21117,2M MULTIPLEXER 75 OHM,,,,,
NOKIA,TC21300,SERIAL CARD,,,,,
NOKIA,TC21301,DM8 MUX CARD,,,,,
NOKIA,TC21705,Supervisory Substation,,,,,
NOKIA,TC21710.01,,,,,,
NOKIA,TCLT-3,,,,,,
NOKIA,TF21090.09,NOKIA Chassis,,,,,
NOKIA,TG21261,Ring Generator,,,,,
NOKIA,TG21263,,,,,,
NOKIA,TG21263.01,,,,,,
NOKIA,TN1082B,MICROCODE CP CARD,,,,,
NOKIA,TS21264,Ring Generator,,,,,
NOKIA,TU21120,,,,,,
NOKIA,TU21122,DM2DIU CARD,,,,,
NOKIA,TU21122.5,DM2DIU CARD,,,,,
NOKIA,TU21122.5CABLE,DM2DIU CABLE,,,,,
NOKIA,TU21124,Data IF Unit nx64k V.11/V.35/X,,,,,
NOKIA,TU21126,,,,,,
NOKIA,TU21132.10,,,,,,
NOKIA,TU21132.11,SERIAL CARD,,,,,
NOKIA,TU21132.13,ILT CARD,,,,,
NOKIA,TU21133.02,Ethernet Interface Unit,,,,,
NOKIA,TU21205,PMUX 6CH SUB CARD,,,,,
NOKIA,TU21205.01,SUB/SUB - 2x 400 ohm - 6ch -48V,,,,,
NOKIA,TU21206,6 channel interface card,,,,,
NOKIA,TU21215,Channel Unit SUB/EXCH,,,,,
NOKIA,TU21215.01,Channel Unit SUB/EXCH - 400 ohm - 6ch,,,,,
NOKIA,TU21216,SUB/EXC card,,,,,
NOKIA,TU21232,,,,,,
NOKIA,TU21234.20,EXM CARD,,,,,
NOKIA,TU21236,8CH E&M/UP:2XE&M/VF,,,,,
NOKIA,TU21254,2 -4w LB/EM Adaptor Unit - 8 ch.,,,,,
NOKIA,TU21743.01,Branching unit,,,,,
NOKIA,TU21745,BRANCHING CARD,,,,,
NOKIA,TU23205,,,,,,
NOKIA,TU23215,,,,,,
NOKIA,TV21611,,,,,,
NOKIA,TV21640,POWER INTERFACE ADAPTOR,,,,,
NOKIA,TV21660.01,,,,,,
NOKIA,TX21027.20,Cable,,,,,
NOKIA,TX21028.10,Connector Patch-Panel 2xV35+2xV.11/TU21124,,,,,
NOKIA,TX21279.6,Interconn. Cable LB/EM (hor.),,,,,
NOKIA,TX21470.03,Connector,,,,,
NOKIA,TX21475,SMB-Connector for RG 179 cable,,,,,
NOKIA,TY21611,,,,,,
NOKIA,VLIU1,0,,,,,
NOKIA,VLIU2,0,,,,,
NOKIA,VLNC2,0,,,,,
NOKIA,VLNC40,0,,,,,
NOKIA,VLNC42B,0,,,,,
NOKIA,VLNC50,0,,,,,
NOKIA,VLNC52,0,,,,,
NOKIA,VLNC60,0,,,,,
NOKIA,WSDCM50-SE-106,1.8DB IL AT 1545NM,,,,,
NOKIA,WSDCM70-SE-106,DCM-70 - WS 400G DCM 70MM FIBER,,,,,
NOKIA,WSMB13,WSMB13 OPT TRNSL CP,,,,,
NOKIA,WSMB17,WSMB17 OPT TRNSL CP,,,,,
NOKIA,WSMB20,OTU2,,,,,
NOKIA,WSRG01B,TRANSPONDER OPTICO  OTU31B 195.6,,,,,
NOKIA,X8345R,Power Supply ETA Distribution ,€273.8,$0.00,,,
NORTEL,25UMN00730EYY,SMU CARD,,,,,
NORTEL,25UMU00738FFN,34-140 MBIT/S MULDEX,,,,,
NORTEL,25UPW00010ENK,POWER UNIT,,,,,
NORTEL,25UQT00730EEB,EOSU,,,,,
NORTEL,25UTM00733EAV,140 MBIT/S OLTU LH,,,,,
NORTEL,317719B,NORTEL CONTIVITY 1750 / DM1401149E5,,,,,
NORTEL,321528-A,64M PCMCIA FLASH CARD,,,,,
NORTEL,AA1403001,10GBASE-LR,,,,,
NORTEL,AA1403003,10GBASE-ER,,,,,
NORTEL,AA1403006,10GBASE-ZR,,,,,
NORTEL,AA1419001,1000BASE SX SC 850 nm GBIC TRANSCEIVER,,,,,
NORTEL,AA1419013,1000BASE-SX SFP 850nm 550m ,,,,,
NORTEL,AA1419041,1 PORT 1000BASE-T GBIC,,,,,
NORTEL,AA1419049,GbE LX DDI,,,,,
NORTEL,AA14190848,GbE - SX DDI,,,,,
NORTEL,DS1404038,ETHERNET ROUTING SWITCH,,,,,
NORTEL,DS1404090,8691SF SWITCH MODULE,,,,,
NORTEL,DS1404092,8648GTR Routing Switch Module,,,,,
NORTEL,DS1404105,Nortel DS1404105-E5 PASSPORT,,,,,
NORTEL,NT0H01CA, OPTERA 80 OCLD BAND 3 - CHANNEL 1,,,,,
NORTEL,NT0H03AA,OM 5200 OCLD,,,,,
NORTEL,NT0H03AB,OM 5200 OCLD BAND1 CHANNEL 2,,,,,
NORTEL,NT0H03AD,OM 5200 OCLD BAND1 CHANNEL 4,,,,,
NORTEL,NT0H16AB,1310 NM OTR 2.5 GB/S,,,,,
NORTEL,NT0H32AF,ENHANCED OMX + FIBER MANAGER 4 CH,,,,,
NORTEL,NT0H32AFE5,ENHANCED OMX + FIBER MANAGER 4 CH,,,,,
NORTEL,NT0H41AA, Shelf Processor OM3500,,,,,
NORTEL,NT3T70BD,SYSTEM BUS CONTROLLER,,,,,
NORTEL,NT5X30AA,101 COMMUNICATION TEST LINE CP,,,,,
NORTEL,NT6Q00AB,Optical Multiservice Edge 6110,,,,,
NORTEL,NT6Q00ACE5,OPTICAL MULTISERVICE EDGE 6110,,,,,
NORTEL,NT6Q01AAE5,Optical Multiservice Edge 6130,,,,,
NORTEL,NT6Q10ABE5,28 x E1/DS1,,,,,
NORTEL,NT6Q13ACE5,OME 6130 8PRT 10/100BASE-T CP,,,,,
NORTEL,NT6Q17ACE5,2X155M,,,,,
NORTEL,NT6Q18AAE5,2x622M/8x155M,,,,,
NORTEL,NT6Q21ABE5,2xGE/FX + 8x10/100 BT L2 622M,,,,,
NORTEL,NT6Q21GBE5,2xGE/FX + 8x10/100 BT L2 1G2,,,,,
NORTEL,NT6Q30ABE5,POWER MODULE,,,,,
NORTEL,NT6Q32AAE5,OME 6110 FAN TRAY W/ FILTER,,,,,
NORTEL,NT6Q40AAE5,PSU,,,,,
NORTEL,NT6Q43AAE5,0AM,,,,,
NORTEL,NT6Q47AAE5,1x2G5Agg,,,,,
NORTEL,NT6X36AA,FPS ALARM BOARD,,,,,
NORTEL,NT6X40GA,DMS-100 LK PDLBD,,,,,
NORTEL,NT7E20GC,24M SHELF PROC. 10 DCC,,,,,
NORTEL,NT7E23AA,MAINT. I/F,,,,,
NORTEL,NT7P23FF,DPN-100 4M PROCESSOR,,,,,
NORTEL,NT7Q35AAE5,1 x2G5,,,,,
NORTEL,NT8E02DB,STM-16 SAW Rx(Fc),,,,,
NORTEL,NT8E06AB,STM-16 RING DEMUX,,,,,
NORTEL,NT8P38BB,DPN PROC ELEMENT,,,,,
NORTEL,NT9P27AD,COMM MEMORY,,,,,
NORTEL,NT9X20AA,,,,,,
NORTEL,NT9X40BB,,,,,,
NORTEL,NT9X45BA,,,,,,
NORTEL,NT9X53AD,,,,,,
NORTEL,NT9X54AC,SUBYSTEM CLOK,,,,,
NORTEL,NTAR02JF,120 PRT COMP PCI ADPTR,,,,,
NORTEL,NTAR02JY,MSC CARD,,,,,
NORTEL,NTAR02NX,TRANSITION MODULE,,,,,
NORTEL,NTBP52CA,PS,,,,,
NORTEL,NTCA01GK,OC-192 STM-64 TX DWDM,,,,,
NORTEL,NTCA04UP,OC192/STM64 AM2 XR,,,,,
NORTEL,NTCA05BA,OC-192 DEMUX,,,,,
NORTEL,NTCA06EP,OC192/STM64,,,,,
NORTEL,NTCA06GP,OC192/STM64 T/R,,,,,
NORTEL,NTCA06KP,OC192/STM64,,,,,
NORTEL,NTCA06LP,OC192/STM64,,,,,
NORTEL,NTCA10CC,100GHZ 8+2W MBDR VOA SC,,,,,
NORTEL,NTCA10DC,100 GHz 8+2w DWDM Coupler - MR,,,,,
NORTEL,NTCA10EC,OC48/OC192,,,,,
NORTEL,NTCA10FC,OC48/OC192,,,,,
NORTEL,NTCA11AK,Multi Optical Repeater,,,,,
NORTEL,NTCA11CC,OPT SRV CHAN CKT PK,,,,,
NORTEL,NTCA11NK,OPT SRV CHAN CKT PK,,,,,
NORTEL,NTCA11PK,OPT SRV CHAN CKT PK,,,,,
NORTEL,NTCA12CC,OC48/OC192,,,,,
NORTEL,NTCA12DC,OC48/OC192,,,,,
NORTEL,NTCA12EC,OC48/OC192,,,,,
NORTEL,NTCA12FC,OC48/OC 192,,,,,
NORTEL,NTCA15CM,DUAL AMP C BAND,,,,,
NORTEL,NTCA26AA,OPTERA DX65 SWITCH CARD,,,,,
NORTEL,NTCA26CA,DX140 SWITCH,,,,,
NORTEL,NTCA30AN,OC-48 T/R CD,,,,,
NORTEL,NTCA30CK,OC-48_STM-16_T/R SHORT_REACH,,,,,
NORTEL,NTCA33BC,QUAD OC-3STM1 T/R,,,,,
NORTEL,NTCA35AB,HD OC3 STM1 T R,,,,,
NORTEL,NTCA36BC,QUAD OC-12 STM-4 T/R (SC),,,,,
NORTEL,NTCA40AA,OC-192 BREAKER MODULE,,,,,
NORTEL,NTCA40BA,OC-192 BREAKER MODULE,,,,,
NORTEL,NTCA41CA,SC,,,,,
NORTEL,NTCA44A,ESI CARD,,,,,
NORTEL,NTCA48AA,MX,,,,,
NORTEL,NTCA49AA,FILLER,,,,,
NORTEL,NTCA59AA,FILLER,,,,,
NORTEL,NTCA70FK,S/DMS OPN INTERFACE UNIT,,,,,
NORTEL,NTCA70XK,2.5G WT,,,,,
NORTEL,NTCA85EA,FAN,,,,,
NORTEL,NTCC13AC,WD1516-Z00010,,,,,
NORTEL,NTCC8928,CABLE,,,,,
NORTEL,NTCE44BA,EXT SYNC INTERFACE CARD,,,,,
NORTEL,NTCF06EP,OC192/STM64 T/R TFEC,,,,,
NORTEL,NTCF06GP,OC192/STM64,,,,,
NORTEL,NTCF06NP,OCC DX OC-192/STM64 OPTTRCVR,,,,,
NORTEL,NTDY20BB,SYSTEM,,,,,
NORTEL,NTDY29BA,,,,,,
NORTEL,NTDY30CB,E1 X 12,,,,,
NORTEL,NTDY36CA,,,,,,
NORTEL,NTDY40CA,MODEM ISDN,,,,,
NORTEL,NTEU11AA,2 MBITS/S 75 OHM TRIB,,,,,
NORTEL,NTEU12AA,2 MB TRIB-120 OHM,,,,,
NORTEL,NTEU14AA,34/45 MBIT/S TRIB,,,,,
NORTEL,NTEU17BA,PACKET EDGE 100,,,,,
NORTEL,NTEU19AA,EPL 100,,,,,
NORTEL,NTEU20AA,STM4 1310NM SHORT HAUL ,,,,,
NORTEL,NTEU23AB,STM-4 Optical Aggregate card long haul L-4.2,,,,,
NORTEL,NTEU25AA,STM_16_AGG-25AA-16XE,,,,,
NORTEL,NTEU25CA,STM-16 short haul optical (DWDM) S-16.1 (1310.00 nm),,,,,
NORTEL,NTEU25DH,STM-16 long haul optical  aggregate (1550 nm),,,,,
NORTEL,NTEU25DW,STM-16 long haul optical (DWDM) L-16.2 (1539.77 nm),,,,,
NORTEL,NTEU25GN,STM16 (DWDM) 1549.32nm,,,,,
NORTEL,NTEU30AA,SATURN 1 FILLER CARD,,,,,
NORTEL,NTEU40AA,UPPER EOS CARD,,,,,
NORTEL,NTEU41AA,LOWER EOS CARD,,,,,
NORTEL,NTEU4510,Cable,,,,,
NORTEL,NTEU4520,CABLE,,,,,
NORTEL,NTEU60AA,OPTERA METRO CHASSIS,,,,,
NORTEL,NTEX22BB,IPF BUS INTERFACE,,,,,
NORTEL,NTFN16GA,E1A-8P INV MUX FP,,,,,
NORTEL,NTFN33HB,0,,,,,
NORTEL,NTFP17EA,E3A FP,,,,,
NORTEL,NTFP17GA,E3A FP,,,,,
NORTEL,NTFP17IA,E3A FP,,,,,
NORTEL,NTFP32CB,E1A FP,,,,,
NORTEL,NTFP32DA,E1A FP,,,,,
NORTEL,NTFP61AA,,,,,,
NORTEL,NTFP61EB,CFP1,,,,,
NORTEL,NTFT02BC,TN-1C ADM,,,,,
NORTEL,NTFT52CA,TN-1,,,,,
NORTEL,NTFT52CG,TN-1,,,,,
NORTEL,NTFW01AB,STM-16 1557 TX(FC),,,,,
NORTEL,NTFW08AA,STM-1e,,,,,
NORTEL,NTFW08CA,STM1e/140,,,,,
NORTEL,NTFW11CD,TN-16X STM-1 INTERFACE CIRCUIT PACK,,,,,
NORTEL,NTFW14AA,STM1E/140M,,,,,
NORTEL,NTFW27AA,EXT SYNC I/F,,,,,
NORTEL,NTFX32AA,,,,,,
NORTEL,NTFX32CA,,,,,,
NORTEL,NTGZ70AA,MFRM-3,,,,,
NORTEL,NTGZ7540,Cable Fiber 2 Pair MPO/SC MFRM3 6 Meter,,,,,
NORTEL,NTGZ8000,CABLES,,,,,
NORTEL,NTGZ80AA,CDMA METRO CELL 800MHZ A BAND RADIO,,,,,
NORTEL,NTGZ8101E6,Cable RF - QMA RA to QMA Str Outdoor 400mm,,,,,
NORTEL,NTHR11BA,MAC ADDRESS MODULE,,,,,
NORTEL,NTHR14AA,BITS/ALARM MODULE ,,,,,
NORTEL,NTHR17DA,BA9ITMGEAD,,,,,
NORTEL,NTHR35CA,CP2,,,,,
NORTEL,NTHR50AA,,,,,,
NORTEL,NTHR89AA,4P DS3 CH,,,,,
NORTEL,NTHW15AG,MSS 15000 4-PORT SM OC3 CP,,,,,
NORTEL,NTHW26BG,MSS15000 2-Port PGV Voice Function Processor VSP4e,,,,,
NORTEL,NTHW44AA,0,,,,,
NORTEL,NTHW81AA,32 Ports Expansion Module,,,,,
NORTEL,NTJS09DA,OC3S FP,,,,,
NORTEL,NTJS11DA,3-Port E3 ATM-IP FP ,,,,,
NORTEL,NTJT22CB,CONTROL & MANGEMENT CARD PLUX-512 MEG,,,,,
NORTEL,NTK503AB,OME 6500 CHASSIS,,,,,
NORTEL,NTK503ABE5,OME 6500,,,,,
NORTEL,NTK503ADE5,6500 CHASSIS,,,,,
NORTEL,NTK505DEE5,POWER CARD,,,,,
NORTEL,NTK505FAES,MIC,,,,,
NORTEL,NTK505FBE5,MIC,,,,,
NORTEL,NTK505LAE5,SDH ACCESS PANEL,,,,,
NORTEL,NTK513DA,OC-3/12/STM-1/4 VT1.5/LO 8 PORTS SFP,,,,,
NORTEL,NTK513DAE5,OC-3/12/STM-1/4 VT1.5/L0 8 port SFP,,,,,
NORTEL,NTK513GAE5,OC-N/STM-N 10G VT1.5/LO 16 Port SFP,,,,,
NORTEL,NTK517BA,SFP SDH OC-48/STM-16,,,,,
NORTEL,NTK517BAE5,OC-48/STM-16 VT1.5/LO 2 port SFP,,,,,
NORTEL,NTK524BAE5,OC-192/STM-64,,,,,
NORTEL,NTK531BAE5,4XGE L2SS OME,,,,,
NORTEL,NTK555AA,OME6500 SHELF PROCESSOR,,,,,
NORTEL,NTK555ABE5,Shelf Processor ,,,,,
NORTEL,NTK557PA,X-CONN 80G/20G VT1.5/VC12 CP 5/6 ,,,,,
NORTEL,NTK557PAE5,X-CONN 80G 20G VT1.5/VC-12,,,,,
NORTEL,NTMX82AA,,,,,,
NORTEL,NTNN02AA,CFP1,,,,,
NORTEL,NTNN48AA,E1AAL1,,,,,
NORTEL,NTNN52AA,E3A FP,,,,,
NORTEL,NTNN54AA, 3PORT OC3 MULTI MODE,,,,,
NORTEL,NTNQ01AA,0,,,,,
NORTEL,NTNQ11AA,0,,,,,
NORTEL,NTNQ13AA,V.11 FP,,,,,
NORTEL,NTNQ24AA,One-port DS3 Function Processor,,,,,
NORTEL,NTNQ50AA,E1A-8P,,,,,
NORTEL,NTNQ52AA,E3A FP,,,,,
NORTEL,NTNQ66AA,0,,,,,
NORTEL,NTNQ67AA,E3 FUNC PROCR CP,,,,,
NORTEL,NTNQ69AA,E1MSA,,,,,
NORTEL,NTNQ69BA,0,,,,,
NORTEL,NTNQ86AA,07W51,,,,,
NORTEL,NTNQ92AA,8pEth 100BaseT,,,,,
NORTEL,NTPM50AA,OPTERA METRO 5100,,,,,
NORTEL,NTPM53AA,5100 POWER CARD,,,,,
NORTEL,NTPM54AA,MAINTENANCE PANEL CARD,,,,,
NORTEL,NTR651HX,SAM-XTS NGSS SUCCESSION DUAL PROCESSOR,,,,,
NORTEL,NTR651QA,CS-2000 MEDIA GATEWAY,,,,,
NORTEL,NTR651QD,SUCCESSION CS 2000,,,,,
NORTEL,NTRX41AA,,,,,,
NORTEL,NTRX41BA,,,,,,
NORTEL,NTRX42AA,,,,,,
NORTEL,NTRX42BA,,,,,,
NORTEL,NTRX42CA,,,,,,
NORTEL,NTRX42EA,,,,,,
NORTEL,NTRX43AA,,,,,,
NORTEL,NTRX44AA,,,,,,
NORTEL,NTRX50FD,C/PORT,,,,,
NORTEL,NTRX50GX,DSS512,,,,,
NORTEL,NTRX5133,CABLE,,,,,
NORTEL,NTRX51BL,Gateway Controller,,,,,
NORTEL,NTRX51CD,Alarm Panel,,,,,
NORTEL,NTRX51FJ,DMS-100 NON SYS SLOT MOD,,,,,
NORTEL,NTRX51FS,TRANSITION CARD,,,,,
NORTEL,NTRX51HG,DVD-ROM SCSI SAM-16 CHASSIS,,,,,
NORTEL,NTRX51HJ,CS-2000 1.2GHZ P3 PROCESSOR PCI,,,,,
NORTEL,NTRX51HX,HP SERVER CC3310,,,,,
NORTEL,NTRX54BA,,,,,,
NORTEL,NTRY41AA,DC PWR RK MT SRVR,,,,,
NORTEL,NTTP01AB,GE SX/FC100 Mx SFP,,,,,
NORTEL,NTTP01CF,Nortel GE 1000-BaseLX,,,,,
NORTEL,NTTP02TF01,OC-3 IR-1/S-1.1,,,,,
NORTEL,NTTP03BF,OC-48 SR-1/I-16,,,,,
NORTEL,NTTP03CF,OC48/STM16 SFP ,,,,,
NORTEL,NTTP03EF,OC-48-LR-1/L-16 1,,,,,
NORTEL,NTTP04BF,OC-3/12 SR-1/I-1 I-4,,,,,
NORTEL,NTTP04BFE6,OC-3/12 IR-1/I-1 I-4,,,,,
NORTEL,NTTP05FF,OC-12 LR-2/L-4 2,,,,,
NORTEL,NTTP80DA,OME 6500 OC192 XFP TRANSCEIVER - OC192IR2 STM64 1550SMF 40KMXFP,,,,,
NORTEL,NTVW02EB,PORTAL RESOURCE CD,,,,,
NORTEL,NTVW02GA,IN-REACH REMOTE SERVER,,,,,
NORTEL,P210464-BR03,BPS2000-2GE MDA,,,,,
NORTEL,QFBR5697,1000BASE-SX 850NM LASER GBIC MODULE,,,,,
NORTEL,QPA164D,DPN 8 PORT V24,,,,,
NORTEL,QPA164F,DPN 100/3 8 PORT V.24,,,,,
NORTEL,TLFT15AF,CABLE,,,,,
